virus	study_strain_name	date	region	country	general_location	ird_strain_name	ird_accession
H3N2	A/Austria/137814/2004	2004-01-21	Europe	Austria	Austria	A/Austria/137814/2004	CY026055
H3N2	A/Austria/138051/2004	2004-01-22	Europe	Austria	Austria	A/Austria/138051/2004	CY026056
H3N2	A/Austria/138112/2004	2004-01-22	Europe	Austria	Austria	A/Austria/138112/2004	CY026058
H3N2	A/Austria/138263/2004	2004-01-26	Europe	Austria	Austria	A/Austria/138263/2004	CY026059
H3N2	A/Austria/138560/2004	2004-01-26	Europe	Austria	Austria	A/Austria/138560/2004	CY026061
H3N2	A/Austria/138571/2004	2004-01-26	Europe	Austria	Austria	A/Austria/138571/2004	CY026062
H3N2	A/Austria/138808/2004	2004-01-27	Europe	Austria	Austria	A/Austria/138808/2004	CY026063
H3N2	A/Austria/139082/2004	2004-01-27	Europe	Austria	Austria	A/Austria/139082/2004	CY026064
H3N2	A/Austria/140481/2004	2004-02-04	Europe	Austria	Austria	A/Austria/140481/2004	CY026067
H3N2	A/Austria/140918/2004	2004-02-06	Europe	Austria	Austria	A/Austria/140918/2004	CY026072
H3N2	A/Austria/140989/2004	2004-02-06	Europe	Austria	Austria	A/Austria/140989/2004	CY026074
H3N2	A/Austria/141157/2004	2004-02-10	Europe	Austria	Austria	A/Austria/141157/2004	CY026075
H3N2	A/Austria/141367/2004	2004-02-10	Europe	Austria	Austria	A/Austria/141367/2004	CY026076
H3N2	A/Austria/142001/2004	2004-02-12	Europe	Austria	Austria	A/Austria/142001/2004	CY026077
H3N2	A/Austria/142973/2004	2004-02-18	Europe	Austria	Austria	A/Austria/142973/2004	CY026078
H3N2	A/Austria/144219/2004	2004-02-24	Europe	Austria	Austria	A/Austria/144219/2004	EU106663
H3N2	A/Austria/202737/2005	2005-01-14	Europe	Austria	Austria	A/Austria/202737/2005	CY026082
H3N2	A/Austria/205390/2005	2005-01-27	Europe	Austria	Austria	A/Austria/205390/2005	CY026086
H3N2	A/Austria/205397/2005	2005-01-25	Europe	Austria	Austria	A/Austria/205397/2005	CY026088
H3N2	A/Austria/205738/2005	2005-01-27	Europe	Austria	Austria	A/Austria/205738/2005	CY026090
H3N2	A/Austria/206130/2005	2005-01-27	Europe	Austria	Austria	A/Austria/206130/2005	CY026091
H3N2	A/Austria/206418/2005	2005-02-02	Europe	Austria	Austria	A/Austria/206418/2005	CY026092
H3N2	A/Austria/207248/2005	2005-02-07	Europe	Austria	Austria	A/Austria/207248/2005	CY026093
H3N2	A/Austria/207265/2005	2005-02-07	Europe	Austria	Austria	A/Austria/207265/2005	CY026094
H3N2	A/Austria/207270/2005	2005-02-07	Europe	Austria	Austria	A/Austria/207270/2005	CY026095
H3N2	A/Austria/207576/2005	2005-02-08	Europe	Austria	Austria	A/Austria/207576/2005	CY026096
H3N2	A/Austria/208005/2005	2005-02-10	Europe	Austria	Austria	A/Austria/208005/2005	CY026098
H3N2	A/Austria/208387/2005	2005-02-11	Europe	Austria	Austria	A/Austria/208387/2005	CY026100
H3N2	A/Austria/208573/2005	2005-02-15	Europe	Austria	Austria	A/Austria/208573/2005	CY026101
H3N2	A/Austria/208920/2005	2005-02-16	Europe	Austria	Austria	A/Austria/208920/2005	CY026102
H3N2	A/Austria/209122/2005	2005-02-17	Europe	Austria	Austria	A/Austria/209122/2005	CY026103
H3N2	A/Austria/209975/2005	2005-02-23	Europe	Austria	Austria	A/Austria/209975/2005	CY026105
H3N2	A/Austria/211116/2005	2005-02-28	Europe	Austria	Austria	A/Austria/211116/2005	CY026106
H3N2	A/Austria/211298/2005	2005-03-01	Europe	Austria	Austria	A/Austria/211298/2005	CY026108
H3N2	A/Austria/211557/2005	2005-03-01	Europe	Austria	Austria	A/Austria/211557/2005	EU106666
H3N2	A/Austria/211645/2005	2005-03-02	Europe	Austria	Austria	A/Austria/211645/2005	CY026109
H3N2	A/Austria/212182/2005	2005-02-28	Europe	Austria	Austria	A/Austria/212182/2005	CY026110
H3N2	A/Austria/212187/2005	2005-03-02	Europe	Austria	Austria	A/Austria/212187/2005	EU106667
H3N2	A/BacGiang/BG003/2004	2004-02-13	SoutheastAsia	Vietnam	Vietnam	A/BacGiang/BG003/2004	CY104132
H3N2	A/Baden_Wuerttemberg/16/2006	2006-XX-XX	Europe	Germany	Germany	A/Baden_Wuerttemberg/16/2006	FJ231793
H3N2	A/Baden-Wuerttemburg/194/2008	2008-12-19	Europe	Germany	Germany	A/Baden Wuerttemburg/194/2008	KP457573
H3N2	A/Baden-Wuerttemburg/196/2008	2008-12-18	Europe	Germany	Germany	A/Baden Wuerttemburg/196/2008	KP458372
H3N2	A/Bahia/44/2011	2011-01-18	SouthAmerica	Brazil	Brazil	A/Bahia/44/2011	CY099979
H3N2	A/Bahia/45/2011	2011-01-20	SouthAmerica	Brazil	Brazil	A/Bahia/45/2011	CY099980
H3N2	A/Bahia/65/2011	2011-02-10	SouthAmerica	Brazil	Brazil	A/Bahia/65/2011	CY099981
H3N2	A/Bahia/97/2011	2011-07-09	SouthAmerica	Brazil	Brazil	A/Bahia/97/2011	CY099982
H3N2	A/Bahia/98/2011	2011-04-14	SouthAmerica	Brazil	Brazil	A/Bahia/98/2011	CY099983
H3N2	A/Bahia/100/2011	2011-03-24	SouthAmerica	Brazil	Brazil	A/Bahia/100/2011	CY099978
H3N2	A/Baleares/RR6848/2010	2010-10-26	Europe	Spain	Spain	A/Baleares/RR6848/2010	KP457034
H3N2	A/Bangkok/24/2004	2004-01-13	SoutheastAsia	Thailand	Thailand	A/Bangkok/24/2004	EF566361
H3N2	A/BANGKOK/27/2000	2000-01-17	SoutheastAsia	Thailand	Thailand	A/Bangkok/27/2000	KP457119
H3N2	A/BANGKOK/28/2001	2001-01-29	SoutheastAsia	Thailand	Thailand	A/Bangkok/28/2001	KP456234
H3N2	A/BANGKOK/62/2000	2000-02-01	SoutheastAsia	Thailand	Thailand	A/Bangkok/62/2000	KP457889
H3N2	A/BANGKOK/86/2001	2001-03-05	SoutheastAsia	Thailand	Thailand	A/Bangkok/86/2001	KP457171
H3N2	A/BANGKOK/103/2002	2002-03-19	SoutheastAsia	Thailand	Thailand	A/Bangkok/103/2002	KP457681
H3N2	A/BANGKOK/109/2002	2002-03-25	SoutheastAsia	Thailand	Thailand	A/Bangkok/109/2002	KP457075
H3N2	A/BANGKOK/115/2001	2001-03-26	SoutheastAsia	Thailand	Thailand	A/Bangkok/115/2001	KP457238
H3N2	A/BANGKOK/132/2009	2009-05-25	SoutheastAsia	Thailand	Thailand	A/Bangkok/132/2009	KP459179
H3N2	A/BANGKOK/156/2001	2001-04-23	SoutheastAsia	Thailand	Thailand	A/Bangkok/156/2001	KP456625
H3N2	A/BANGKOK/161/2001	2001-04-24	SoutheastAsia	Thailand	Thailand	A/Bangkok/161/2001	KP457578
H3N2	A/BANGKOK/178/2000	2000-03-28	SoutheastAsia	Thailand	Thailand	A/Bangkok/178/2000	KP458238
H3N2	A/BANGKOK/190/2002	2002-07-01	SoutheastAsia	Thailand	Thailand	A/Bangkok/190/2002	KP459356
H3N2	A/BANGKOK/202/2000	2000-05-02	SoutheastAsia	Thailand	Thailand	A/Bangkok/202/2000	KP456910
H3N2	A/BANGKOK/223/2002	2002-07-08	SoutheastAsia	Thailand	Thailand	A/Bangkok/223/2002	KP457958
H3N2	A/BANGKOK/224/2001	2001-06-12	SoutheastAsia	Thailand	Thailand	A/Bangkok/224/2001	KP458572
H3N2	A/BANGKOK/226/2001	2001-06-11	SoutheastAsia	Thailand	Thailand	A/Bangkok/226/2001	KP456525
H3N2	A/BANGKOK/247/2002	2002-07-15	SoutheastAsia	Thailand	Thailand	A/Bangkok/247/2002	KP458063
H3N2	A/BANGKOK/328/2001	2001-07-12	SoutheastAsia	Thailand	Thailand	A/Bangkok/328/2001	KP458343
H3N2	A/BANGKOK/413/2002	2002-08-16	SoutheastAsia	Thailand	Thailand	A/Bangkok/413/2002	KP457628
H3N2	A/BANGKOK/480/2001	2001-09-03	SoutheastAsia	Thailand	Thailand	A/Bangkok/480/2001	KP456482
H3N2	A/BANGKOK/504/2001	2001-09-18	SoutheastAsia	Thailand	Thailand	A/Bangkok/504/2001	KP458993
H3N2	A/Bangkok/561/2009	2009-11-03	SoutheastAsia	Thailand	Thailand	A/Bangkok/561/2009	KP456379
H3N2	A/Bangladesh/483/2009	2009-05-01	India	Bangladesh	Bangladesh	A/Bangladesh/483/2009	KP456868
H3N2	A/Bangladesh/1695/2007	2007-06-06	India	Bangladesh	Bangladesh	A/Bangladesh/1695/2007	KP458977
H3N2	A/Bangladesh/2009/2008	2008-07-15	India	Bangladesh	Bangladesh	A/Bangladesh/2009/2008	KP457463
H3N2	A/Bangladesh/2012/2010	2010-08-19	India	Bangladesh	Bangladesh	A/Bangladesh/2012/2010	KP456690
H3N2	A/Bangladesh/2363/2009	2009-05-06	India	Bangladesh	Bangladesh	A/Bangladesh/2363/2009	KP457439
H3N2	A/Bangladesh/2425/2009	2009-06-06	India	Bangladesh	Bangladesh	A/Bangladesh/2425/2009	KP456757
H3N2	A/Bangladesh/3012/2009	2009-04-16	India	Bangladesh	Bangladesh	A/Bangladesh/3012/2009	KP459358
H3N2	A/Bangladesh/3017/2008	2008-07-09	India	Bangladesh	Bangladesh	A/Bangladesh/3017/2008	KP458420
H3N2	A/Bangladesh/3161/2010	2010-09-16	India	Bangladesh	Bangladesh	A/Bangladesh/3161/2010	KP456501
H3N2	A/Bangladesh/4699/2007	2007-04-26	India	Bangladesh	Bangladesh	A/Bangladesh/4699/2007	KP459080
H3N2	A/Bangladesh/5004/2010	2010-07-10	India	Bangladesh	Bangladesh	A/Bangladesh/5004/2010	KP457307
H3N2	A/Bangladesh/5014/2009	2009-05-17	India	Bangladesh	Bangladesh	A/Bangladesh/5014/2009	KP458329
H3N2	A/Bangladesh/7772/2009	2009-05-08	India	Bangladesh	Bangladesh	A/Bangladesh/7772/2009	KP456444
H3N2	A/Bangladesh/8004/2010	2010-09-16	India	Bangladesh	Bangladesh	A/Bangladesh/8004/2010	KP457345
H3N2	A/Bangladesh/9745/2007	2007-05-02	India	Bangladesh	Bangladesh	A/Bangladesh/9745/2007	KP457777
H3N2	A/Bangladesh/9890/2008	2008-07-02	India	Bangladesh	Bangladesh	A/Bangladesh/9890/2008	KP458671
H3N2	A/Bangladesh/30376/2007	2007-06-07	India	Bangladesh	Bangladesh	A/Bangladesh/30376/2007	KP457122
H3N2	A/Bangladesh/C5_12/2003	2003-XX-XX	India	Bangladesh	Bangladesh	A/Bangladesh/C5_12/2003	DQ179512
H3N2	A/Bangladesh/C5_13/2003	2003-XX-XX	India	Bangladesh	Bangladesh	A/Bangladesh/C5_13/2003	DQ179513
H3N2	A/Bangladesh/C5_15/2003	2003-XX-XX	India	Bangladesh	Bangladesh	A/Bangladesh/C5_15/2003	DQ179515
H3N2	A/Bangladesh/C5_16/2003	2003-XX-XX	India	Bangladesh	Bangladesh	A/Bangladesh/C5_16/2003	DQ179516
H3N2	A/Bangladesh/C5_17/2003	2003-XX-XX	India	Bangladesh	Bangladesh	A/Bangladesh/C5_17/2003	DQ179517
H3N2	A/Bangladesh/C5_18/2003	2003-XX-XX	India	Bangladesh	Bangladesh	A/Bangladesh/C5_18/2003	DQ179518
H3N2	A/Bangladesh/C5_19/2003	2003-XX-XX	India	Bangladesh	Bangladesh	A/Bangladesh/C5_19/2003	DQ179519
H3N2	A/Bangladesh/C5_21/2003	2003-XX-XX	India	Bangladesh	Bangladesh	A/Bangladesh/C5_21/2003	DQ179521
H3N2	A/Bangladesh/C5_22/2003	2003-XX-XX	India	Bangladesh	Bangladesh	A/Bangladesh/C5_22/2003	DQ179522
H3N2	A/Bangladesh/C5_23/2003	2003-XX-XX	India	Bangladesh	Bangladesh	A/Bangladesh/C5_23/2003	DQ179523
H3N2	A/Bangladesh/C5_24/2003	2003-XX-XX	India	Bangladesh	Bangladesh	A/Bangladesh/C5_24/2003	DQ179524
H3N2	A/Bangladesh/C5_25/2003	2003-XX-XX	India	Bangladesh	Bangladesh	A/Bangladesh/C5_25/2003	DQ179525
H3N2	A/Bangladesh/C5_27/2003	2003-XX-XX	India	Bangladesh	Bangladesh	A/Bangladesh/C5_27/2003	DQ179527
H3N2	A/Bay_of_Plenty/279/2004	2004-10-11	Oceania	NewZealand	NewZealand	A/Bay_of_Plenty/279/2004	CY007291
H3N2	A/Bayern/11/2006	2006-XX-XX	Europe	Germany	Germany	A/Bayern/11/2006	FJ231795
H3N2	A/Beijing_Xicheng/134/2007	2007-01-08	NorthChina	China	Beijing	A/Beijing_Xicheng/134/2007	CY108640
H3N2	A/Beijing_Xicheng/140/2007	2007-01-08	NorthChina	China	Beijing	A/Beijing_Xicheng/140/2007	CY108641
H3N2	A/Beijing_Xicheng/148/2007	2007-01-15	NorthChina	China	Beijing	A/Beijing_Xicheng/148/2007	CY108642
H3N2	A/Beijing_Xicheng/185/2007	2007-01-21	NorthChina	China	Beijing	A/Beijing_Xicheng/185/2007	CY108645
H3N2	A/Beijing_Xicheng/1283/2006	2006-12-18	NorthChina	China	Beijing	A/Beijing_Xicheng/1283/2006	CY108617
H3N2	A/Beijing_Xuanwu/1359/2006	2006-12-21	NorthChina	China	Beijing	A/Beijing_Xuanwu/1359/2006	CY108619
H3N2	A/Beijing_Xuanwu/1363/2006	2006-12-22	NorthChina	China	Beijing	A/Beijing_Xuanwu/1363/2006	CY108620
H3N2	A/Beijing_Xuanwu/1367/2006	2006-12-21	NorthChina	China	Beijing	A/Beijing_Xuanwu/1367/2006	CY108621
H3N2	A/Beijing_Xuanwu/1379/2006	2006-12-29	NorthChina	China	Beijing	A/Beijing_Xuanwu/1379/2006	CY108622
H3N2	A/Beijing-Huairou/1569/2010	2010-10-03	NorthChina	China	Beijing	A/Beijing Huairou/1569/2010	KP459201
H3N2	A/Beijing-Huairou/11088/2009	2009-11-25	NorthChina	China	Beijing	A/Beijing Huairou/11088/2009	KP458302
H3N2	A/Beijing-Xicheng/12611/2010	2010-11-01	NorthChina	China	Beijing	A/Beijing Xicheng/12611/2010	KP458484
H3N2	A/Beijing/4/2000	2000-01-01	NorthChina	China	Beijing	A/Beijing/4/2000	CY107866
H3N2	A/Beijing/13/2004	2004-XX-XX	NorthChina	China	Beijing	A/Beijing/13/2004	CY108478
H3N2	A/Beijing/17/2001	2001-12-06	NorthChina	China	Beijing	A/Beijing/17/2001	CY107932
H3N2	A/Beijing/20/2002	2002-01-07	NorthChina	China	Beijing	A/Beijing/20/2002	KP457394
H3N2	A/Beijing/31/2003	2003-XX-XX	NorthChina	China	Beijing	A/Beijing/31/2003	CY108014
H3N2	A/Beijing/35/2002	2002-01-11	NorthChina	China	Beijing	A/Beijing/35/2002	CY107934
H3N2	A/Beijing/44/2002	2002-01-10	NorthChina	China	Beijing	A/Beijing/44/2002	CY107935
H3N2	A/Beijing/47/2004	2004-XX-XX	NorthChina	China	Beijing	A/Beijing/47/2004	CY108479
H3N2	A/Beijing/51/2002	2002-12-20	NorthChina	China	Beijing	A/Beijing/51/2002	KP456425
H3N2	A/Beijing/68/2003	2003-02-12	NorthChina	China	Beijing	A/Beijing/68/2003	CY108011
H3N2	A/Beijing/86/2004	2004-XX-XX	NorthChina	China	Beijing	A/Beijing/86/2004	CY108477
H3N2	A/BEIJING/114/2001	2001-12-13	NorthChina	China	Beijing	A/Beijing/114/2001	KP459242
H3N2	A/BEIJING/144/2001	2001-11-30	NorthChina	China	Beijing	A/Beijing/144/2001	KP456955
H3N2	A/BEIJING/157/2001	2001-11-20	NorthChina	China	Beijing	A/Beijing/157/2001	KP458664
H3N2	A/BEIJING/159/2001	2001-11-30	NorthChina	China	Beijing	A/Beijing/159/2001	KP457995
H3N2	A/BEIJING/161/2001	2001-11-30	NorthChina	China	Beijing	A/Beijing/161/2001	KP457288
H3N2	A/BEIJING/188/2001	2001-12-13	NorthChina	China	Beijing	A/Beijing/188/2001	KP459341
H3N2	A/Beijing/203/2003	2003-XX-XX	NorthChina	China	Beijing	A/Beijing/203/2003	CY108010
H3N2	A/Beijing/230/2002	2002-XX-XX	NorthChina	China	Beijing	A/Beijing/230/2002	CY107930
H3N2	A/Beijing/273/2004	2004-10-29	NorthChina	China	Beijing	A/Beijing/273/2004	CY108444
H3N2	A/Beijing/284/2004	2004-10-29	NorthChina	China	Beijing	A/Beijing/284/2004	CY108445
H3N2	A/Beijing/285/2003	2003-XX-XX	NorthChina	China	Beijing	A/Beijing/285/2003	CY108015
H3N2	A/Beijing/305/2004	2004-11-11	NorthChina	China	Beijing	A/Beijing/305/2004	CY108446
H3N2	A/Beijing/313/2003	2003-12-25	NorthChina	China	Beijing	A/Beijing/313/2003	CY108012
H3N2	A/Beijing/317/2004	2004-11-19	NorthChina	China	Beijing	A/Beijing/317/2004	CY108447
H3N2	A/Beijing/324/2004	2004-11-19	NorthChina	China	Beijing	A/Beijing/324/2004	CY108448
H3N2	A/Beijing/332/2004	2004-11-25	NorthChina	China	Beijing	A/Beijing/332/2004	CY108449
H3N2	A/Beijing/344/2004	2004-11-26	NorthChina	China	Beijing	A/Beijing/344/2004	CY108450
H3N2	A/Beijing/352/2004	2004-11-26	NorthChina	China	Beijing	A/Beijing/352/2004	CY108451
H3N2	A/Beijing/359/2002	2002-XX-XX	NorthChina	China	Beijing	A/Beijing/359/2002	CY107936
H3N2	A/Beijing/Xicheng51/2007	2007-01-10	NorthChina	China	Beijing	A/Beijing Xicheng/51/2007	KP458924
H3N2	A/Beijng-Xicheng/1108/2009	2009-02-10	NorthChina	China	Beijing	A/Beijing Xicheng/1108/2009	KP457305
H3N2	A/Belgium/G254/2009	2009-01-04	Europe	Belgium	Belgium	A/Belgium/G254/2009	KP456414
H3N2	A/Belgium/G308/2009	2009-01-12	Europe	Belgium	Belgium	A/Belgium/G308/2009	KP458276
H3N2	A/Belgrade/WRAIR2379N/2010	2010-10-25	Europe	Serbia	Serbia	A/Belgrade/WRAIR2379N/2010	CY093391
H3N2	A/Berlin/3/2006	2006-XX-XX	Europe	Germany	Germany	A/Berlin/3/2006	FJ231797
H3N2	A/Berlin/28/2006	2006-XX-XX	Europe	Germany	Germany	A/Berlin/28/2006	FJ231801
H3N2	A/Berlin/40/2006	2006-XX-XX	Europe	Germany	Germany	A/Berlin/40/2006	FJ231805
H3N2	A/Bhutan/151/2009	2009-06-16	India	Bhutan	Bhutan	A/Bhutan/151/2009	KP457740
H3N2	A/Bhutan/154/2009	2009-06-17	India	Bhutan	Bhutan	A/Bhutan/154/2009	KP457728
H3N2	A/Bogota/WRAIR3457N/2010	2010-12-01	SouthAmerica	Colombia	Colombia	A/Bogota/WRAIR3457N/2010	CY093407
H3N2	A/Bolivia/317/2010	2010-05-10	SouthAmerica	Bolivia	Bolivia	A/Bolivia/317/2010	KP458177
H3N2	A/Bolivia/1053/2010	2010-08-11	SouthAmerica	Bolivia	Bolivia	A/Bolivia/1053/2010	KP456822
H3N2	A/Bolivia/2675/2009	2009-XX-XX	SouthAmerica	Bolivia	Bolivia	A/Bolivia/2675/2009	KP456313
H3N2	A/Bolivia/2948/2009	2009-XX-XX	SouthAmerica	Bolivia	Bolivia	A/Bolivia/2948/2009	KP457702
H3N2	A/Bordeaux/1942/2009	2009-09-18	Europe	France	France	A/Bordeaux/1942/2009	KP459086
H3N2	A/Boston/2/2008	2008-02-21	USACanada	USA	Massachusetts	A/Boston/2/2008	CY044437
H3N2	A/Boston/9/2008	2008-02-27	USACanada	USA	Massachusetts	A/Boston/9/2008	CY044469
H3N2	A/Boston/14/2007	2007-12-15	USACanada	USA	Massachusetts	A/Boston/14/2007	CY044492
H3N2	A/Boston/38/2008	2008-02-14	USACanada	USA	Massachusetts	A/Boston/38/2008	CY044580
H3N2	A/Boston/50/2008	2008-02-21	USACanada	USA	Massachusetts	A/Boston/50/2008	CY044668
H3N2	A/Boston/56/2008	2008-02-24	USACanada	USA	Massachusetts	A/Boston/56/2008	CY044700
H3N2	A/Boston/60/2008	2008-02-25	USACanada	USA	Massachusetts	A/Boston/60/2008	CY044732
H3N2	A/Boston/61/2008	2008-02-26	USACanada	USA	Massachusetts	A/Boston/61/2008	CY044740
H3N2	A/Boston/78/2008	2008-03-11	USACanada	USA	Massachusetts	A/Boston/78/2008	CY044796
H3N2	A/Boston/81/2008	2008-03-13	USACanada	USA	Massachusetts	A/Boston/81/2008	CY044812
H3N2	A/Boston/88/2008	2008-04-16	USACanada	USA	Massachusetts	A/Boston/88/2008	CY044820
H3N2	A/Boston/96/2008	2008-02-20	USACanada	USA	Massachusetts	A/Boston/96/2008	CY044844
H3N2	A/Boston/DOA01/2011	2011-01-03	USACanada	USA	Massachusetts	A/Boston/DOA01/2011	CY111126
H3N2	A/Boston/DOA02/2011	2011-01-04	USACanada	USA	Massachusetts	A/Boston/DOA02/2011	CY111134
H3N2	A/Boston/DOA03/2011	2011-01-03	USACanada	USA	Massachusetts	A/Boston/DOA03/2011	CY111142
H3N2	A/Boston/DOA04/2011	2011-01-05	USACanada	USA	Massachusetts	A/Boston/DOA04/2011	CY111150
H3N2	A/Boston/DOA06/2011	2011-01-12	USACanada	USA	Massachusetts	A/Boston/DOA06/2011	CY111166
H3N2	A/Boston/DOA07/2011	2011-01-13	USACanada	USA	Massachusetts	A/Boston/DOA07/2011	CY111174
H3N2	A/Boston/DOA09/2011	2011-01-13	USACanada	USA	Massachusetts	A/Boston/DOA09/2011	CY111182
H3N2	A/Boston/DOA10/2011	2011-01-13	USACanada	USA	Massachusetts	A/Boston/DOA10/2011	CY111222
H3N2	A/Boston/DOA11/2011	2011-01-13	USACanada	USA	Massachusetts	A/Boston/DOA11/2011	CY111230
H3N2	A/Boston/DOA12/2011	2011-01-15	USACanada	USA	Massachusetts	A/Boston/DOA12/2011	CY111238
H3N2	A/Boston/DOA15/2011	2011-01-18	USACanada	USA	Massachusetts	A/Boston/DOA15/2011	CY111198
H3N2	A/Boston/DOA16/2011	2011-01-19	USACanada	USA	Massachusetts	A/Boston/DOA16/2011	CY116699
H3N2	A/Boston/DOA20/2011	2011-01-28	USACanada	USA	Massachusetts	A/Boston/DOA20/2011	CY111246
H3N2	A/Boston/DOA24/2011	2011-02-01	USACanada	USA	Massachusetts	A/Boston/DOA24/2011	CY116707
H3N2	A/Boston/DOA32/2011	2011-02-07	USACanada	USA	Massachusetts	A/Boston/DOA32/2011	CY111270
H3N2	A/Boston/DOA42/2011	2011-02-14	USACanada	USA	Massachusetts	A/Boston/DOA42/2011	CY117581
H3N2	A/Boston/DOA51/2011	2011-02-18	USACanada	USA	Massachusetts	A/Boston/DOA51/2011	CY111310
H3N2	A/Boston/DOA52/2011	2011-02-18	USACanada	USA	Massachusetts	A/Boston/DOA52/2011	CY111318
H3N2	A/Boston/DOA55/2011	2011-02-21	USACanada	USA	Massachusetts	A/Boston/DOA55/2011	CY111326
H3N2	A/Boston/DOA57/2011	2011-02-23	USACanada	USA	Massachusetts	A/Boston/DOA57/2011	CY111334
H3N2	A/Boston/DOA61/2011	2011-02-24	USACanada	USA	Massachusetts	A/Boston/DOA61/2011	CY111342
H3N2	A/Boston/DOA66/2011	2011-02-26	USACanada	USA	Massachusetts	A/Boston/DOA66/2011	CY111350
H3N2	A/Boston/DOA67/2011	2011-02-28	USACanada	USA	Massachusetts	A/Boston/DOA67/2011	CY111358
H3N2	A/Boston/DOA68/2011	2011-03-01	USACanada	USA	Massachusetts	A/Boston/DOA68/2011	CY116715
H3N2	A/Boston/DOA69/2011	2011-03-02	USACanada	USA	Massachusetts	A/Boston/DOA69/2011	CY111366
H3N2	A/Boston/DOA71/2011	2011-03-05	USACanada	USA	Massachusetts	A/Boston/DOA71/2011	CY111382
H3N2	A/Boston/DOA74/2011	2011-03-09	USACanada	USA	Massachusetts	A/Boston/DOA74/2011	CY117589
H3N2	A/Boston/DOA75/2011	2011-03-11	USACanada	USA	Massachusetts	A/Boston/DOA75/2011	CY111478
H3N2	A/Boston/DOA77/2011	2011-03-13	USACanada	USA	Massachusetts	A/Boston/DOA77/2011	CY111406
H3N2	A/Boston/DOA79/2011	2011-03-12	USACanada	USA	Massachusetts	A/Boston/DOA79/2011	CY111422
H3N2	A/Boston/DOA80/2011	2011-03-16	USACanada	USA	Massachusetts	A/Boston/DOA80/2011	CY111430
H3N2	A/Boston/DOA81/2011	2011-03-17	USACanada	USA	Massachusetts	A/Boston/DOA81/2011	CY111438
H3N2	A/Boston/DOA83/2011	2011-03-21	USACanada	USA	Massachusetts	A/Boston/DOA83/2011	CY117597
H3N2	A/Boston/DOA85/2011	2011-03-23	USACanada	USA	Massachusetts	A/Boston/DOA85/2011	CY111454
H3N2	A/Boston/DOA86/2011	2011-03-29	USACanada	USA	Massachusetts	A/Boston/DOA86/2011	CY111462
H3N2	A/Brandenburg/1/2010	2010-10-26	Europe	Germany	Germany	A/Brandenburg/1/2010	KP457197
H3N2	A/Brandenburg/01/2010	2010-10-26	Europe	Germany	Germany	A/Brandenburg/01/2010	KP457513
H3N2	A/Bratislava/144/2009	2009-01-19	Europe	Slovakia	Slovakia	A/Bratislava/144/2009	KP457836
H3N2	A/BRAZIL/2c/2000	2000-07-05	SouthAmerica	Brazil	Brazil	A/Brazil/2c/2000	KP458088
H3N2	A/Brazil/003/00	2000-XX-XX	SouthAmerica	Brazil	Brazil	A/Brazil/003/00	DQ336007
H3N2	A/BRAZIL/4b/2000	2000-07-06	SouthAmerica	Brazil	Brazil	A/Brazil/4b/2000	KP457200
H3N2	A/BRAZIL/5/2002	2002-11-13	SouthAmerica	Brazil	Brazil	A/Brazil/5/2002	KP457909
H3N2	A/Brazil/008/00	2000-XX-XX	SouthAmerica	Brazil	Brazil	A/Brazil/008/00	DQ336011
H3N2	A/Brazil/009/00	2000-XX-XX	SouthAmerica	Brazil	Brazil	A/Brazil/009/00	DQ336014
H3N2	A/Brazil/010/00	2000-XX-XX	SouthAmerica	Brazil	Brazil	A/Brazil/010/00	DQ336013
H3N2	A/BRAZIL/10/2000	2000-07-24	SouthAmerica	Brazil	Brazil	A/Brazil/10/2000	KP458409
H3N2	A/Brazil/012/00	2000-XX-XX	SouthAmerica	Brazil	Brazil	A/Brazil/012/00	DQ336009
H3N2	A/Brazil/015/00	2000-XX-XX	SouthAmerica	Brazil	Brazil	A/Brazil/015/00	DQ336012
H3N2	A/BRAZIL/18a/2000	2000-07-14	SouthAmerica	Brazil	Brazil	A/Brazil/18a/2000	KP457483
H3N2	A/Brazil/024/00	2000-XX-XX	SouthAmerica	Brazil	Brazil	A/Brazil/024/00	DQ336010
H3N2	A/Brazil/125/01	2001-XX-XX	SouthAmerica	Brazil	Brazil	A/Brazil/125/01	DQ336006
H3N2	A/Brazil/0610/2010	2010-05-24	SouthAmerica	Brazil	Brazil	A/Brazil/0610/2010	KP458734
H3N2	A/BRAZIL/694/2000	2000-04-12	SouthAmerica	Brazil	Brazil	A/Brazil/694/2000	KP458579
H3N2	A/BRAZIL/695/2001	2001-06-06	SouthAmerica	Brazil	Brazil	A/Brazil/695/2001	KP456510
H3N2	A/BRAZIL/718/2000	2000-04-18	SouthAmerica	Brazil	Brazil	A/Brazil/718/2000	KP457233
H3N2	A/Brazil/0791/2010	2010-06-23	SouthAmerica	Brazil	Brazil	A/Brazil/0791/2010	KP457134
H3N2	A/BRAZIL/822/2001	2001-06-26	SouthAmerica	Brazil	Brazil	A/Brazil/822/2001	KP457011
H3N2	A/Brazil/884/2009	2009-07-07	SouthAmerica	Brazil	Brazil	A/Brazil/884/2009	KP456493
H3N2	A/Brazil/933/2009	2009-05-05	SouthAmerica	Brazil	Brazil	A/Brazil/933/2009	KP458665
H3N2	A/BRAZIL/991/2000	2000-06-12	SouthAmerica	Brazil	Brazil	A/Brazil/991/2000	KP458369
