virus	strain	age_of_infection
H3	A/SOUTHAUSTRALIA/6/2007	3
H3	A/SOUTHAUSTRALIA/66/2008	3
H3	A/SOUTHAUSTRALIA/7/2005	3
H3	A/SOUTHAUSTRALIA/7/2008	3
H3	A/SOUTHAUSTRALIA/72/2003	3
H3	A/SOUTHAUSTRALIA/73/2002	3
H3	A/SOUTHAUSTRALIA/74/2003	3
H3	A/SOUTHAUSTRALIA/79/2005	3
H3	A/SOUTHAUSTRALIA/83/2003	3
H3	A/SOUTHAUSTRALIA/88/2001	3
H3	A/SOUTHAUSTRALIA/88/2003	3
H3	A/SOUTHAUSTRALIA/9/2003	3
H3	A/SOUTHAUSTRALIA/90/2003	3
H3	A/SOUTHAUSTRALIA/92/2003	3
H3	A/SOUTHAUSTRALIA/93/2005	3
H3	A/SOUTHAUSTRALIA/94/2002	3
H3	A/SOUTHAUSTRALIA/97/2005	3
H3	A/SYDNEY/1/2009	3
H3	A/SYDNEY/10/2004	3
H3	A/SYDNEY/21/2003	3
H3	A/SYDNEY/210/2002	3
H3	A/SYDNEY/211/2002	3
H3	A/SYDNEY/228/2002	3
H3	A/SYDNEY/232/2002	3
H3	A/SYDNEY/233/2002	3
H3	A/SYDNEY/236/2010	3
H3	A/SYDNEY/237/2002	3
H3	A/SYDNEY/238/2000	3
H3	A/SYDNEY/241/2002	3
H3	A/SYDNEY/242/2002	3
H3	A/SYDNEY/257/2002	3
H3	A/SYDNEY/268/2002	3
H3	A/SYDNEY/274/2002	3
H3	A/SYDNEY/275/2000	3
H3	A/SYDNEY/275/2002	3
H3	A/SYDNEY/278/2002	3
H3	A/SYDNEY/298/2002	3
H3	A/SYDNEY/308/2002	3
H3	A/SYDNEY/43/2005	3
H3	A/SYDNEY/527/2007	3
H3	A/SYDNEY/53/2003	3
H3	A/SYDNEY/530/2007	3
H3	A/SYDNEY/563/2007	3
H3	A/SYDNEY/571/2007	3
H3	A/SYDNEY/602/2009	3
H3	A/TOWNSVILLE/09/2003	3
H3	A/TOWNSVILLE/134/2010	3
H3	A/TOWNSVILLE/21/2001	3
H3	A/TOWNSVILLE/21/2001	3
H3	A/TOWNSVILLE/45/2003	3
H3	A/TOWNSVILLE/46/2005	3
H3	A/VICTORIA/165/2002	3
H3	A/VICTORIA/197/2002	3
H3	A/VICTORIA/309/2003	3
H3	A/VICTORIA/315/2002	3
H3	A/VICTORIA/318/2002	3
H3	A/VICTORIA/319/2000	3
H3	A/VICTORIA/320/2002	3
H3	A/VICTORIA/323/2002	3
H3	A/VICTORIA/325/2002	3
H3	A/VICTORIA/327/2002	3
H3	A/VICTORIA/330/2002	3
H3	A/VICTORIA/332/2002	3
H3	A/VICTORIA/336/2006	3
H3	A/VICTORIA/338/2002	3
H3	A/VICTORIA/341/2005	3
H3	A/VICTORIA/357/2002	3
H3	A/VICTORIA/366/2002	3
H3	A/VICTORIA/370/2002	3
H3	A/VICTORIA/372/2002	3
H3	A/VICTORIA/500/2003	3
H3	A/VICTORIA/500/2004	3
H3	A/VICTORIA/508/2003	3
H3	A/VICTORIA/511/2000	3
H3	A/VICTORIA/511/2007	3
H3	A/VICTORIA/521/2000	3
H3	A/VICTORIA/523/2003	3
H3	A/VICTORIA/528/2000	3
H3	A/VICTORIA/533/2000	3
H3	A/VICTORIA/537/2007	3
H3	A/VICTORIA/542/2008	3
H3	A/VICTORIA/542/2008	3
H3	A/VICTORIA/543/2003	3
H3	A/VICTORIA/547/2003	3
H3	A/VICTORIA/562/2002	3
H3	A/VICTORIA/563/2010	3
H3	A/VICTORIA/568/2003	3
H3	A/VICTORIA/578/2003	3
H3	A/VICTORIA/801/2007	3
H3	A/VICTORIA/803/2007	3
H3	A/VICTORIA/810/2007	3
H3	A/VICTORIA/842/2007	3
H3	A/TOWNSVILLE/27/2002	3.5
H3	A/TOWNSVILLE/7/2002	3.5
H3	A/BRISBANE/102/2004	4
H3	A/BRISBANE/103/2004	4
H3	A/BRISBANE/106/2006	4
H3	A/BRISBANE/108/2011	4
H3	A/BRISBANE/11/2000	4
H3	A/BRISBANE/112/2002	4
H3	A/BRISBANE/114/2002	4
H3	A/BRISBANE/119/2001	4
H3	A/BRISBANE/119/2002	4
H3	A/BRISBANE/125/2005	4
H3	A/BRISBANE/128/2006	4
H3	A/BRISBANE/134/2003	4
H3	A/BRISBANE/135/2003	4
H3	A/BRISBANE/140/2002	4
H3	A/BRISBANE/144/2002	4
H3	A/BRISBANE/145/2007	4
H3	A/BRISBANE/146/2004	4
H3	A/BRISBANE/149/2002	4
H3	A/BRISBANE/158/2002	4
H3	A/BRISBANE/159/2004	4
H3	A/BRISBANE/159/2006	4
H3	A/BRISBANE/161/2004	4
H3	A/BRISBANE/164/2003	4
H3	A/BRISBANE/181/2002	4
H3	A/BRISBANE/196/2005	4
H3	A/BRISBANE/200/2003	4
H3	A/BRISBANE/203/2002	4
H3	A/BRISBANE/206/2003	4
H3	A/BRISBANE/212/2002	4
H3	A/BRISBANE/23/2002	4
H3	A/BRISBANE/248/2002	4
H3	A/BRISBANE/252/2006	4
H3	A/BRISBANE/255/2003	4
H3	A/BRISBANE/256/2003	4
H3	A/BRISBANE/257/2006	4
H3	A/BRISBANE/258/2002	4
H3	A/BRISBANE/26/2003	4
H3	A/BRISBANE/26/2008	4
H3	A/BRISBANE/262/2010	4
H3	A/BRISBANE/270/2003	4
H3	A/BRISBANE/296/2003	4
H3	A/BRISBANE/299/2006	4
H3	A/BRISBANE/31/2002	4
H3	A/BRISBANE/314/2003	4
H3	A/BRISBANE/316/2002	4
H3	A/BRISBANE/33/2003	4
H3	A/BRISBANE/36/2003	4
H3	A/BRISBANE/42/2005	4
H3	A/BRISBANE/49/2005	4
H3	A/BRISBANE/51/2005	4
H3	A/BRISBANE/51/2005	4
H3	A/BRISBANE/53/2005	4
H3	A/BRISBANE/55/2005	4
H3	A/BRISBANE/56/2011	4
H3	A/BRISBANE/57/2005	4
H3	A/BRISBANE/6/2002	4
H3	A/BRISBANE/6/2004	4
H3	A/BRISBANE/60/2002	4
H3	A/BRISBANE/61/2000	4
H3	A/BRISBANE/64/2006	4
H3	A/BRISBANE/66/2005	4
H3	A/BRISBANE/66/2006	4
H3	A/BRISBANE/67/2003	4
H3	A/BRISBANE/7/2003	4
H3	A/BRISBANE/76/2008	4
H3	A/BRISBANE/81/2002	4
H3	A/BRISBANE/84/2002	4
H3	A/BRISBANE/9/2004	4
H3	A/BRISBANE/92/2001	4
H3	A/BRISBANE/96/2002	4
H3	A/PERTH/188/2008	4
H3	A/PERTH/201/2002	4
H3	A/PERTH/210/2005	4
H3	A/PERTH/234/2006	4
H3	A/PERTH/236/2002	4
H3	A/PERTH/244/2001	4
H3	A/PERTH/244/2008	4
H3	A/PERTH/249/2005	4
H3	A/PERTH/265/2006	4
H3	A/PERTH/271/2003	4
H3	A/PERTH/294/2003	4
H3	A/PERTH/309/2003	4
H3	A/PERTH/310/2009	4
H3	A/PERTH/377/2002	4
H3	A/PERTH/378/2002	4
H3	A/PERTH/381/2002	4
H3	A/PERTH/393/2002	4
H3	A/PERTH/86/2008	4
H3	A/SOUTHAUSTRALIA/10/2003	4
H3	A/SOUTHAUSTRALIA/109/2002	4
H3	A/SOUTHAUSTRALIA/112/2003	4
H3	A/SOUTHAUSTRALIA/13/2007	4
H3	A/SOUTHAUSTRALIA/139/2002	4
H3	A/SOUTHAUSTRALIA/141/2002	4
H3	A/SOUTHAUSTRALIA/143/2002	4
H3	A/SOUTHAUSTRALIA/147/2003	4
H3	A/SOUTHAUSTRALIA/24/2008	4
H3	A/SOUTHAUSTRALIA/240/2007	4
H3	A/SOUTHAUSTRALIA/258/2007	4
H3	A/SOUTHAUSTRALIA/318/2007	4
H3	A/SOUTHAUSTRALIA/34/2007	4
H3	A/SOUTHAUSTRALIA/38/2002	4
H3	A/SOUTHAUSTRALIA/38/2005	4
H3	A/SOUTHAUSTRALIA/44/2003	4
H3	A/SOUTHAUSTRALIA/479/2007	4
H3	A/SOUTHAUSTRALIA/480/2007	4
H3	A/SOUTHAUSTRALIA/481/2007	4
H3	A/SOUTHAUSTRALIA/482/2007	4
H3	A/SOUTHAUSTRALIA/50/2002	4
H3	A/SOUTHAUSTRALIA/52/2003	4
H3	A/SOUTHAUSTRALIA/68/2003	4
H3	A/SOUTHAUSTRALIA/70/2002	4
H3	A/SOUTHAUSTRALIA/74/2005	4
H3	A/SOUTHAUSTRALIA/80/2002	4
H3	A/SOUTHAUSTRALIA/84/2001	4
H3	A/SOUTHAUSTRALIA/84/2001	4
H3	A/SOUTHAUSTRALIA/93/2003	4
H3	A/SOUTHAUSTRALIA/98/2001	4
H3	A/SYDNEY/10/2002	4
H3	A/SYDNEY/132/2007	4
H3	A/SYDNEY/204/2007	4
H3	A/SYDNEY/208/2007	4
H3	A/SYDNEY/219/2007	4
H3	A/SYDNEY/226/2002	4
H3	A/SYDNEY/230/2002	4
H3	A/SYDNEY/233/2007	4
H3	A/SYDNEY/243/2002	4
H3	A/SYDNEY/249/2002	4
H3	A/SYDNEY/25/2009	4
H3	A/SYDNEY/253/2007	4
H3	A/SYDNEY/254/2007	4
H3	A/SYDNEY/257/2007	4
H3	A/SYDNEY/273/2007	4
H3	A/SYDNEY/281/2002	4
H3	A/SYDNEY/34/2008	4
H3	A/SYDNEY/42/2007	4
H3	A/SYDNEY/43/2006	4
H3	A/SYDNEY/502/2007	4
H3	A/SYDNEY/565/2007	4
H3	A/SYDNEY/87/2006	4
H3	A/TOWNSVILLE/1/2011	4
H3	A/TOWNSVILLE/10/2011	4
H3	A/TOWNSVILLE/20/2011	4
H3	A/TOWNSVILLE/22/2011	4
H3	A/TOWNSVILLE/48/2011	4
H3	A/TOWNSVILLE/50/2011	4
H3	A/TOWNSVILLE/51/2011	4
H3	A/VICTORIA/149/2003	4
H3	A/VICTORIA/181/2003	4
H3	A/VICTORIA/304/2002	4
H3	A/VICTORIA/309/2002	4
H3	A/VICTORIA/310/2002	4
H3	A/VICTORIA/322/2002	4
H3	A/VICTORIA/322/2005	4
H3	A/VICTORIA/329/2002	4
H3	A/VICTORIA/336/2000	4
H3	A/VICTORIA/337/2000	4
H3	A/VICTORIA/346/2000	4
H3	A/VICTORIA/361/2002	4
H3	A/VICTORIA/371/2002	4
H3	A/VICTORIA/374/2002	4
H3	A/VICTORIA/381/2002	4
H3	A/VICTORIA/389/2002	4
H3	A/VICTORIA/393/2002	4
H3	A/VICTORIA/403/2002	4
H3	A/VICTORIA/410/2002	4
H3	A/VICTORIA/427/2002	4
H3	A/VICTORIA/430/2002	4
H3	A/VICTORIA/505/2005	4
H3	A/VICTORIA/505/2009	4
H3	A/VICTORIA/506/2002	4
H3	A/VICTORIA/507/2004	4
H3	A/VICTORIA/510/2002	4
H3	A/VICTORIA/514/2002	4
H3	A/VICTORIA/514/2003	4
H3	A/VICTORIA/515/2003	4
H3	A/VICTORIA/520/2008	4
H3	A/VICTORIA/531/2005	4
H3	A/VICTORIA/531/2006	4
H3	A/VICTORIA/552/2010	4
H3	A/VICTORIA/555/2000	4
H3	A/VICTORIA/573/2003	4
H3	A/VICTORIA/836/2007	4
H3	A/VICTORIA/848/2007	4
H3	A/VICTORIA/166/2006	4.8
H3	A/BRISBANE/102/2002	5
H3	A/BRISBANE/102/2006	5
H3	A/BRISBANE/119/2006	5
H3	A/BRISBANE/120/2003	5
H3	A/BRISBANE/130/2002	5
H3	A/BRISBANE/130/2007	5
H3	A/BRISBANE/133/2007	5
H3	A/BRISBANE/139/2002	5
H3	A/BRISBANE/144/2003	5
H3	A/BRISBANE/145/2003	5
H3	A/BRISBANE/164/2002	5
H3	A/BRISBANE/168/2006	5
H3	A/BRISBANE/173/2006	5
H3	A/BRISBANE/176/2004	5
H3	A/BRISBANE/176/2006	5
H3	A/BRISBANE/185/2003	5
H3	A/BRISBANE/209/2006	5
H3	A/BRISBANE/211/2003	5
H3	A/BRISBANE/217/2003	5
H3	A/BRISBANE/221/2002	5
H3	A/BRISBANE/224/2002	5
H3	A/BRISBANE/226/2007	5
H3	A/BRISBANE/229/2002	5
H3	A/BRISBANE/233/2002	5
H3	A/BRISBANE/243/2003	5
H3	A/BRISBANE/254/2002	5
H3	A/BRISBANE/256/2002	5
H3	A/BRISBANE/282/2003	5
H3	A/BRISBANE/288/2002	5
H3	A/BRISBANE/3/2009	5
H3	A/BRISBANE/304/2003	5
H3	A/BRISBANE/309/2002	5
H3	A/BRISBANE/319/2002	5
H3	A/BRISBANE/32/2000	5
H3	A/BRISBANE/322/2003	5
H3	A/BRISBANE/326/2003	5
H3	A/BRISBANE/329/2007	5
H3	A/BRISBANE/38/2008	5
H3	A/BRISBANE/5/2005	5
H3	A/BRISBANE/51/2007	5
H3	A/BRISBANE/57/2002	5
H3	A/BRISBANE/60/2004	5
H3	A/BRISBANE/66/2007	5
H3	A/BRISBANE/79/2005	5
H3	A/BRISBANE/88/2006	5
H3	A/BRISBANE/95/2005	5
H3	A/BRISBANE/97/2002	5
H3	A/PERTH/153/2009	5
H3	A/PERTH/226/2005	5
H3	A/PERTH/227/2002	5
H3	A/PERTH/233/2002	5
H3	A/PERTH/245/2002	5
H3	A/PERTH/248/2000	5
H3	A/PERTH/255/2002	5
H3	A/PERTH/267/2003	5
H3	A/PERTH/275/2003	5
H3	A/PERTH/28/2007	5
H3	A/PERTH/289/2003	5
H3	A/PERTH/295/2009	5
H3	A/PERTH/373/2002	5
H3	A/PERTH/532/2010	5
H3	A/SOUTHAUSTRALIA/102/2002	5
H3	A/SOUTHAUSTRALIA/107/2001	5
H3	A/SOUTHAUSTRALIA/107/2002	5
H3	A/SOUTHAUSTRALIA/107/2003	5
H3	A/SOUTHAUSTRALIA/126/2003	5
H3	A/SOUTHAUSTRALIA/133/2002	5
H3	A/SOUTHAUSTRALIA/224/2007	5
H3	A/SOUTHAUSTRALIA/234/2007	5
H3	A/SOUTHAUSTRALIA/268/2007	5
H3	A/SOUTHAUSTRALIA/27/2007	5
H3	A/SOUTHAUSTRALIA/27/2008	5
H3	A/SOUTHAUSTRALIA/316/2007	5
H3	A/SOUTHAUSTRALIA/317/2007	5
H3	A/SOUTHAUSTRALIA/363/2007	5
H3	A/SOUTHAUSTRALIA/378/2007	5
H3	A/SOUTHAUSTRALIA/42/2008	5
H3	A/SOUTHAUSTRALIA/476/2007	5
H3	A/SOUTHAUSTRALIA/5/2002	5
H3	A/SOUTHAUSTRALIA/51/2002	5
H3	A/SOUTHAUSTRALIA/55/2008	5
H3	A/SOUTHAUSTRALIA/71/2002	5
H3	A/SOUTHAUSTRALIA/91/2003	5
H3	A/SYDNEY/206/2003	5
H3	A/SYDNEY/225/2002	5
H3	A/SYDNEY/23/2003	5
H3	A/SYDNEY/26/2009	5
H3	A/SYDNEY/266/2000	5
H3	A/SYDNEY/273/2002	5
H3	A/SYDNEY/31/2008	5
H3	A/SYDNEY/4/2002	5
H3	A/SYDNEY/42/2010	5
H3	A/SYDNEY/47/2006	5
H3	A/SYDNEY/516/2007	5
H3	A/SYDNEY/78/2006	5
H3	A/SYDNEY/86/2007	5
H3	A/SYDNEY/9/2002	5
H3	A/TOWNSVILLE/116/2010	5
H3	A/TOWNSVILLE/39/2011	5
H3	A/TOWNSVILLE/39/2011	5
H3	A/TOWNSVILLE/86/2010	5
H3	A/TOWNSVILLE/86/2010	5
H3	A/TOWNSVILLE/91/2010	5
H3	A/UTTARADIT/1013/2004	5
H3	A/VICTORIA/118/2003	5
H3	A/VICTORIA/153/2005	5
H3	A/VICTORIA/217/2002	5
H3	A/VICTORIA/237/2007	5
H3	A/VICTORIA/243/2002	5
H3	A/VICTORIA/288/2003	5
H3	A/VICTORIA/302/2006	5
H3	A/VICTORIA/306/2002	5
H3	A/VICTORIA/330/2005	5
H3	A/VICTORIA/388/2002	5
H3	A/VICTORIA/399/2002	5
H3	A/VICTORIA/509/2002	5
H3	A/VICTORIA/530/2005	5
H3	A/VICTORIA/532/2010	5
H3	A/VICTORIA/534/2000	5
H3	A/VICTORIA/543/2002	5
H3	A/VICTORIA/548/2003	5
H3	A/BRISBANE/104/2005	6
H3	A/BRISBANE/116/2003	6
H3	A/BRISBANE/119/2011	6
H3	A/BRISBANE/127/2003	6
H3	A/BRISBANE/134/2002	6
H3	A/BRISBANE/149/2004	6
H3	A/BRISBANE/149/2006	6
H3	A/BRISBANE/154/2006	6
H3	A/BRISBANE/155/2003	6
H3	A/BRISBANE/158/2006	6
H3	A/BRISBANE/171/2002	6
H3	A/BRISBANE/175/2006	6
H3	A/BRISBANE/185/2005	6
H3	A/BRISBANE/20/2006	6
H3	A/BRISBANE/232/2002	6
H3	A/BRISBANE/235/2002	6
H3	A/BRISBANE/243/2002	6
H3	A/BRISBANE/261/2005	6
H3	A/BRISBANE/268/2006	6
H3	A/BRISBANE/281/2002	6
H3	A/BRISBANE/296/2010	6
H3	A/BRISBANE/306/2002	6
H3	A/BRISBANE/308/2002	6
H3	A/BRISBANE/59/2005	6
H3	A/BRISBANE/62/2006	6
H3	A/BRISBANE/65/2009	6
H3	A/BRISBANE/77/2004	6
H3	A/BRISBANE/90/2003	6
H3	A/BRISBANE/97/2001	6
H3	A/CANBERRA/2/2010	6
H3	A/DARWIN/25/2011	6
H3	A/PERTH/16/2009	6
H3	A/PERTH/209/2005	6
H3	A/PERTH/232/2005	6
H3	A/PERTH/233/2005	6
H3	A/PERTH/235/2003	6
H3	A/PERTH/236/2005	6
H3	A/PERTH/257/2002	6
H3	A/PERTH/257/2003	6
H3	A/PERTH/258/2006	6
H3	A/PERTH/388/2002	6
H3	A/PERTH/501/2010	6
H3	A/SOUTHAUSTRALIA/227/2007	6
H3	A/SOUTHAUSTRALIA/242/2007	6
H3	A/SOUTHAUSTRALIA/36/2003	6
H3	A/SOUTHAUSTRALIA/362/2007	6
H3	A/SOUTHAUSTRALIA/374/2007	6
H3	A/SOUTHAUSTRALIA/42/2003	6
H3	A/SOUTHAUSTRALIA/426/2007	6
H3	A/SOUTHAUSTRALIA/45/2003	6
H3	A/SOUTHAUSTRALIA/48/2007	6
H3	A/SOUTHAUSTRALIA/61/2007	6
H3	A/SOUTHAUSTRALIA/72/2002	6
H3	A/SYDNEY/124/2007	6
H3	A/SYDNEY/216/2007	6
H3	A/SYDNEY/252/2002	6
H3	A/SYDNEY/259/2007	6
H3	A/SYDNEY/264/2007	6
H3	A/SYDNEY/302/2002	6
H3	A/SYDNEY/42/2008	6
H3	A/SYDNEY/56/2003	6
H3	A/SYDNEY/618/2009	6
H3	A/SYDNEY/64/2003	6
H3	A/TOWNSVILLE/101/2010	6
H3	A/TOWNSVILLE/113/2010	6
H3	A/TOWNSVILLE/36/2002	6
H3	A/VICTORIA/137/2003	6
H3	A/VICTORIA/180/2002	6
H3	A/VICTORIA/186/2003	6
H3	A/VICTORIA/301/2003	6
H3	A/VICTORIA/302/2003	6
H3	A/VICTORIA/308/2006	6
H3	A/VICTORIA/358/2007	6
H3	A/VICTORIA/358/2007	6
H3	A/VICTORIA/368/2002	6
H3	A/VICTORIA/373/2002	6
H3	A/VICTORIA/377/2002	6
H3	A/VICTORIA/404/2002	6
H3	A/VICTORIA/507/2000	6
H3	A/VICTORIA/528/2008	6
H3	A/VICTORIA/535/2003	6
H3	A/VICTORIA/538/2000	6
H3	A/VICTORIA/566/2007	6.5
H3	A/BRISBANE/101/2004	7
H3	A/BRISBANE/120/2011	7
H3	A/BRISBANE/123/2011	7
H3	A/BRISBANE/128/2004	7
H3	A/BRISBANE/133/2004	7
H3	A/BRISBANE/135/2004	7
H3	A/BRISBANE/138/2004	7
H3	A/BRISBANE/148/2004	7
H3	A/BRISBANE/179/2003	7
H3	A/BRISBANE/184/2007	7
H3	A/BRISBANE/187/2003	7
H3	A/BRISBANE/189/2006	7
H3	A/BRISBANE/193/2002	7
H3	A/BRISBANE/203/2005	7
H3	A/BRISBANE/224/2005	7
H3	A/BRISBANE/226/2003	7
H3	A/BRISBANE/239/2006	7
H3	A/BRISBANE/244/2003	7
H3	A/BRISBANE/246/2010	7
H3	A/BRISBANE/265/2002	7
H3	A/BRISBANE/279/2002	7
H3	A/BRISBANE/28/2000	7
H3	A/BRISBANE/289/2006	7
H3	A/BRISBANE/29/2004	7
H3	A/BRISBANE/294/2002	7
H3	A/BRISBANE/30/2008	7
H3	A/BRISBANE/318/2003	7
H3	A/BRISBANE/38/2007	7
H3	A/BRISBANE/5/2002	7
H3	A/BRISBANE/5/2002	7
H3	A/BRISBANE/50/2003	7
H3	A/BRISBANE/54/2004	7
H3	A/BRISBANE/74/2002	7
H3	A/BRISBANE/76/2004	7
H3	A/BRISBANE/83/2002	7
H3	A/BRISBANE/91/2006	7
H3	A/PERTH/178/2009	7
H3	A/PERTH/196/2008	7
H3	A/PERTH/242/2002	7
H3	A/PERTH/251/2008	7
H3	A/PERTH/269/2003	7
H3	A/PERTH/277/2003	7
H3	A/PERTH/279/2003	7
H3	A/PERTH/375/2002	7
H3	A/PERTH/383/2002	7
H3	A/SOUTHAUSTRALIA/200/2007	7
H3	A/SOUTHAUSTRALIA/22/2005	7
H3	A/SOUTHAUSTRALIA/230/2007	7
H3	A/SOUTHAUSTRALIA/25/2008	7
H3	A/SOUTHAUSTRALIA/26/2005	7
H3	A/SOUTHAUSTRALIA/295/2007	7
H3	A/SOUTHAUSTRALIA/326/2007	7
H3	A/SOUTHAUSTRALIA/343/2007	7
H3	A/SOUTHAUSTRALIA/35/2007	7
H3	A/SOUTHAUSTRALIA/369/2007	7
H3	A/SOUTHAUSTRALIA/4/2006	7
H3	A/SOUTHAUSTRALIA/409/2007	7
H3	A/SOUTHAUSTRALIA/414/2010	7
H3	A/SOUTHAUSTRALIA/55/2003	7
H3	A/SOUTHAUSTRALIA/66/2003	7
H3	A/SOUTHAUSTRALIA/8/2005	7
H3	A/SYDNEY/15/2004	7
H3	A/SYDNEY/234/2007	7
H3	A/SYDNEY/248/2002	7
H3	A/SYDNEY/256/2002	7
H3	A/SYDNEY/291/2002	7
H3	A/SYDNEY/41/2009	7
H3	A/SYDNEY/43/2009	7
H3	A/TOWNSVILLE/126/2010	7
H3	A/TOWNSVILLE/21/2011	7
H3	A/UBONRATCHATHANI/2146/2004	7
H3	A/VICTORIA/204/2002	7
H3	A/VICTORIA/335/2002	7
H3	A/VICTORIA/358/2002	7
H3	A/VICTORIA/500/2007	7
H3	A/VICTORIA/506/2004	7
H3	A/VICTORIA/521/2005	7
H3	A/VICTORIA/811/2007	7
H3	A/VICTORIA/886/2007	7
H3	A/BRISBANE/162/2004	8
H3	A/BRISBANE/167/2006	8
H3	A/BRISBANE/203/2006	8
H3	A/BRISBANE/206/2002	8
H3	A/BRISBANE/237/2002	8
H3	A/BRISBANE/247/2002	8
H3	A/BRISBANE/264/2010	8
H3	A/BRISBANE/268/2010	8
H3	A/BRISBANE/27/2000	8
H3	A/BRISBANE/279/2003	8
H3	A/BRISBANE/288/2010	8
H3	A/BRISBANE/289/2003	8
H3	A/BRISBANE/52/2005	8
H3	A/DARWIN/5/2007	8
H3	A/PERTH/15/2009	8
H3	A/PERTH/160/2009	8
H3	A/PERTH/203/2008	8
H3	A/PERTH/291/2009	8
H3	A/PERTH/293/2003	8
H3	A/PERTH/313/2003	8
H3	A/PERTH/402/2009	8
H3	A/PERTH/83/2009	8
H3	A/SOUTHAUSTRALIA/106/2003	8
H3	A/SOUTHAUSTRALIA/111/2005	8
H3	A/SOUTHAUSTRALIA/120/2003	8
H3	A/SOUTHAUSTRALIA/14/2005	8
H3	A/SOUTHAUSTRALIA/223/2007	8
H3	A/SOUTHAUSTRALIA/248/2007	8
H3	A/SOUTHAUSTRALIA/249/2007	8
H3	A/SOUTHAUSTRALIA/285/2007	8
H3	A/SOUTHAUSTRALIA/340/2007	8
H3	A/SOUTHAUSTRALIA/47/2007	8
H3	A/SOUTHAUSTRALIA/471/2007	8
H3	A/SOUTHAUSTRALIA/76/2002	8
H3	A/SOUTHAUSTRALIA/82/2001	8
H3	A/SYDNEY/120/2007	8
H3	A/SYDNEY/209/2002	8
H3	A/SYDNEY/209/2007	8
H3	A/SYDNEY/21/2000	8
H3	A/SYDNEY/278/2008	8
H3	A/SYDNEY/597/2008	8
H3	A/VICTORIA/138/2005	8
H3	A/VICTORIA/203/2003	8
H3	A/VICTORIA/208/2007	8
H3	A/VICTORIA/306/2006	8
H3	A/VICTORIA/338/2000	8
H3	A/VICTORIA/529/2001	8
H3	A/VICTORIA/849/2007	8
H3	A/VICTORIA/163/2006	8.7
H3	A/BRISBANE/108/2003	9
H3	A/BRISBANE/11/2010	9
H3	A/BRISBANE/131/2004	9
H3	A/BRISBANE/132/2002	9
H3	A/BRISBANE/141/2003	9
H3	A/BRISBANE/143/2007	9
H3	A/BRISBANE/151/2006	9
H3	A/BRISBANE/152/2006	9
H3	A/BRISBANE/168/2002	9
H3	A/BRISBANE/184/2003	9
H3	A/BRISBANE/193/2003	9
H3	A/BRISBANE/2/2002	9
H3	A/BRISBANE/220/2010	9
H3	A/BRISBANE/27/2006	9
H3	A/DARWIN/87/2011	9
H3	A/PERTH/136/2009	9
H3	A/PERTH/157/2009	9
H3	A/PERTH/190/2009	9
H3	A/PERTH/211/2005	9
H3	A/PERTH/222/2005	9
H3	A/PERTH/242/2005	9
H3	A/PERTH/245/2003	9
H3	A/PERTH/34/2009	9
H3	A/SOUTHAUSTRALIA/133/2005	9
H3	A/SOUTHAUSTRALIA/18/2003	9
H3	A/SOUTHAUSTRALIA/25/2007	9
H3	A/SOUTHAUSTRALIA/265/2007	9
H3	A/SOUTHAUSTRALIA/275/2007	9
H3	A/SOUTHAUSTRALIA/29/2003	9
H3	A/SOUTHAUSTRALIA/292/2007	9
H3	A/SOUTHAUSTRALIA/477/2007	9
H3	A/SOUTHAUSTRALIA/51/2003	9
H3	A/SOUTHAUSTRALIA/55/2007	9
H3	A/SOUTHAUSTRALIA/56/2003	9
H3	A/SOUTHAUSTRALIA/95/2003	9
H3	A/SOUTHAUSTRALIA/96/2001	9
H3	A/SYDNEY/2001/2008	9
H3	A/TOWNSVILLE/112/2010	9
H3	A/TOWNSVILLE/3/2000	9
H3	A/TOWNSVILLE/3/2000	9
H3	A/TOWNSVILLE/36/2011	9
H3	A/VICTORIA/198/2003	9
H3	A/VICTORIA/203/2005	9
H3	A/VICTORIA/208/2002	9
H3	A/VICTORIA/223/2003	9
H3	A/VICTORIA/255/2005	9
H3	A/VICTORIA/267/2003	9
H3	A/VICTORIA/524/2003	9
H3	A/BRISBANE/134/2006	10
H3	A/BRISBANE/144/2007	10
H3	A/BRISBANE/242/2003	10
H3	A/BRISBANE/301/2002	10
H3	A/BRISBANE/49/2006	10
H3	A/BRISBANE/52/2008	10
H3	A/BRISBANE/74/2006	10
H3	A/BRISBANE/76/2006	10
H3	A/CANBERRA/20/2009	10
H3	A/PERTH/113/2010	10
H3	A/PERTH/124/2009	10
H3	A/PERTH/217/2005	10
H3	A/PERTH/221/2005	10
H3	A/PERTH/246/2000	10
H3	A/PERTH/270/2001	10
H3	A/SOUTHAUSTRALIA/110/2003	10
H3	A/SOUTHAUSTRALIA/13/2003	10
H3	A/SOUTHAUSTRALIA/28/2005	10
H3	A/SOUTHAUSTRALIA/345/2007	10
H3	A/SOUTHAUSTRALIA/385/2007	10
H3	A/SOUTHAUSTRALIA/408/2007	10
H3	A/SOUTHAUSTRALIA/88/2005	10
H3	A/SYDNEY/17/2009	10
H3	A/SYDNEY/70/2003	10
H3	A/TOWNSVILLE/114/2010	10
H3	A/TOWNSVILLE/64/2011	10
H3	a/victoria/125/2004	10
H3	A/VICTORIA/134/2005	10
H3	A/VICTORIA/157/2005	10
H3	A/VICTORIA/281/2003	10
H3	A/VICTORIA/320/2000	10
